date,store_id,sku_id,qty_sold,transaction_price,product_name,category,cost_price,sell_price,revenue,margin
2022-01-01,1,5501,34,436.79,4K LED Smart TV,Electronics,300,450,14850.86,4650.860000000001
2022-01-01,1,8801,42,88.22,Running Shoes,Apparel,40,95,3705.24,2025.24
2022-01-01,1,8802,48,21.24,Cotton T-Shirt,Apparel,8,20,1019.52,635.52
2022-01-01,1,2205,36,81.98,Coffee Maker,Home,45,85,2951.28,1331.2800000000002
2022-01-01,2,5501,73,493.11,4K LED Smart TV,Electronics,300,450,35997.03,14097.03
2022-01-01,2,5502,66,60.07,Bluetooth Speaker,Electronics,25,60,3964.62,2314.62
2022-01-01,2,8801,51,101.6,Running Shoes,Apparel,40,95,5181.599999999999,3141.6
2022-01-01,2,8802,52,21.69,Cotton T-Shirt,Apparel,8,20,1127.88,711.8800000000001
2022-01-01,2,2205,43,77.84,Coffee Maker,Home,45,85,3347.1200000000003,1412.1200000000001
2022-01-01,3,5501,49,431.56,4K LED Smart TV,Electronics,300,450,21146.44,6446.4400000000005
2022-01-01,3,5502,38,61.48,Bluetooth Speaker,Electronics,25,60,2336.24,1386.2399999999998
2022-01-01,3,8801,43,95.4,Running Shoes,Apparel,40,95,4102.2,2382.2000000000003
2022-01-01,3,8802,24,19.15,Cotton T-Shirt,Apparel,8,20,459.59999999999997,267.59999999999997
2022-01-01,3,2205,78,89.64,Coffee Maker,Home,45,85,6991.92,3481.92
2022-01-02,1,5501,46,413.37,4K LED Smart TV,Electronics,300,450,19015.02,5215.02
2022-01-02,1,5502,52,54.22,Bluetooth Speaker,Electronics,25,60,2819.44,1519.44
2022-01-02,1,8801,44,99.38,Running Shoes,Apparel,40,95,4372.719999999999,2612.72
2022-01-02,1,8802,54,21.01,Cotton T-Shirt,Apparel,8,20,1134.5400000000002,702.5400000000001
2022-01-02,1,2205,68,84.94,Coffee Maker,Home,45,85,5775.92,2715.92
2022-01-02,2,5501,36,445.09,4K LED Smart TV,Electronics,300,450,16023.24,5223.239999999999
2022-01-02,2,5502,46,58.46,Bluetooth Speaker,Electronics,25,60,2689.16,1539.16
2022-01-02,2,8801,43,89.41,Running Shoes,Apparel,40,95,3844.6299999999997,2124.6299999999997
2022-01-02,2,8802,43,19.43,Cotton T-Shirt,Apparel,8,20,835.49,491.49
2022-01-02,2,2205,53,81.15,Coffee Maker,Home,45,85,4300.950000000001,1915.9500000000003
2022-01-02,3,5501,23,431.02,4K LED Smart TV,Electronics,300,450,9913.46,3013.4599999999996
2022-01-02,3,5502,30,57.28,Bluetooth Speaker,Electronics,25,60,1718.4,968.4000000000001
2022-01-02,3,8801,60,91.96,Running Shoes,Apparel,40,95,5517.599999999999,3117.5999999999995
2022-01-02,3,8802,41,18.71,Cotton T-Shirt,Apparel,8,20,767.11,439.11
2022-01-02,3,2205,45,87.8,Coffee Maker,Home,45,85,3951.0,1925.9999999999998
2022-01-03,1,5501,40,443.39,4K LED Smart TV,Electronics,300,450,17735.6,5735.599999999999
2022-01-03,1,5502,51,56.76,Bluetooth Speaker,Electronics,25,60,2894.7599999999998,1619.76
2022-01-03,1,8801,25,101.64,Running Shoes,Apparel,40,95,2541.0,1541.0
2022-01-03,1,8802,24,20.83,Cotton T-Shirt,Apparel,8,20,499.91999999999996,307.91999999999996
2022-01-03,2,5501,56,417.44,4K LED Smart TV,Electronics,300,450,23376.64,6576.639999999999
2022-01-03,2,5502,25,55.5,Bluetooth Speaker,Electronics,25,60,1387.5,762.5
2022-01-03,2,8801,37,92.0,Running Shoes,Apparel,40,95,3404.0,1924.0
2022-01-03,2,8802,36,20.2,Cotton T-Shirt,Apparel,8,20,727.1999999999999,439.2
2022-01-03,2,2205,43,82.3,Coffee Maker,Home,45,85,3538.9,1603.8999999999999
2022-01-03,3,5501,24,434.24,4K LED Smart TV,Electronics,300,450,10421.76,3221.76
2022-01-03,3,5502,38,64.88,Bluetooth Speaker,Electronics,25,60,2465.4399999999996,1515.4399999999998
2022-01-03,3,8801,30,101.36,Running Shoes,Apparel,40,95,3040.8,1840.8
2022-01-03,3,8802,21,20.78,Cotton T-Shirt,Apparel,8,20,436.38,268.38
2022-01-04,1,5501,37,409.77,4K LED Smart TV,Electronics,300,450,15161.49,4061.4899999999993
2022-01-04,1,5502,34,59.37,Bluetooth Speaker,Electronics,25,60,2018.58,1168.58
2022-01-04,1,8801,26,90.49,Running Shoes,Apparel,40,95,2352.74,1312.7399999999998
2022-01-04,1,8802,31,18.99,Cotton T-Shirt,Apparel,8,20,588.6899999999999,340.68999999999994
2022-01-04,1,2205,33,85.9,Coffee Maker,Home,45,85,2834.7000000000003,1349.7000000000003
2022-01-04,2,5501,51,429.58,4K LED Smart TV,Electronics,300,450,21908.579999999998,6608.579999999999
2022-01-04,2,5502,59,57.26,Bluetooth Speaker,Electronics,25,60,3378.3399999999997,1903.34
2022-01-04,2,8801,42,96.29,Running Shoes,Apparel,40,95,4044.1800000000003,2364.1800000000003
2022-01-04,2,8802,30,18.75,Cotton T-Shirt,Apparel,8,20,562.5,322.5
2022-01-04,2,2205,32,78.63,Coffee Maker,Home,45,85,2516.16,1076.1599999999999
2022-01-04,3,5501,21,416.56,4K LED Smart TV,Electronics,300,450,8747.76,2447.76
2022-01-04,3,5502,33,61.91,Bluetooth Speaker,Electronics,25,60,2043.03,1218.03
2022-01-04,3,8801,38,100.53,Running Shoes,Apparel,40,95,3820.14,2300.14
2022-01-04,3,8802,36,18.22,Cotton T-Shirt,Apparel,8,20,655.92,367.91999999999996
2022-01-04,3,2205,33,81.68,Coffee Maker,Home,45,85,2695.44,1210.4400000000003
2022-01-05,1,5501,41,456.7,4K LED Smart TV,Electronics,300,450,18724.7,6424.7
2022-01-05,1,5502,51,62.09,Bluetooth Speaker,Electronics,25,60,3166.59,1891.5900000000001
2022-01-05,1,8801,35,87.66,Running Shoes,Apparel,40,95,3068.1,1668.1
2022-01-05,1,8802,39,20.56,Cotton T-Shirt,Apparel,8,20,801.8399999999999,489.84
2022-01-05,1,2205,34,77.08,Coffee Maker,Home,45,85,2620.72,1090.72
2022-01-05,2,5501,29,474.82,4K LED Smart TV,Electronics,300,450,13769.78,5069.78
2022-01-05,2,5502,42,56.46,Bluetooth Speaker,Electronics,25,60,2371.32,1321.32
2022-01-05,2,8801,22,94.05,Running Shoes,Apparel,40,95,2069.1,1189.1
2022-01-05,2,8802,26,18.7,Cotton T-Shirt,Apparel,8,20,486.2,278.2
2022-01-05,2,2205,56,86.87,Coffee Maker,Home,45,85,4864.72,2344.7200000000003
2022-01-05,3,5501,35,445.65,4K LED Smart TV,Electronics,300,450,15597.75,5097.749999999999
2022-01-05,3,5502,38,55.58,Bluetooth Speaker,Electronics,25,60,2112.04,1162.04
2022-01-05,3,8801,32,96.2,Running Shoes,Apparel,40,95,3078.4,1798.4
2022-01-05,3,8802,34,18.6,Cotton T-Shirt,Apparel,8,20,632.4000000000001,360.40000000000003
2022-01-06,1,5501,18,445.4,4K LED Smart TV,Electronics,300,450,8017.2,2617.2
2022-01-06,1,5502,35,59.7,Bluetooth Speaker,Electronics,25,60,2089.5,1214.5
2022-01-06,1,8801,52,91.53,Running Shoes,Apparel,40,95,4759.56,2679.56
2022-01-06,1,8802,27,20.27,Cotton T-Shirt,Apparel,8,20,547.29,331.28999999999996
2022-01-06,1,2205,40,85.77,Coffee Maker,Home,45,85,3430.7999999999997,1630.7999999999997
2022-01-06,2,5501,30,467.23,4K LED Smart TV,Electronics,300,450,14016.900000000001,5016.900000000001
2022-01-06,2,5502,34,56.44,Bluetooth Speaker,Electronics,25,60,1918.96,1068.96
2022-01-06,2,8801,27,88.61,Running Shoes,Apparel,40,95,2392.47,1312.47
2022-01-06,2,2205,20,85.47,Coffee Maker,Home,45,85,1709.4,809.4
2022-01-06,3,5501,41,411.05,4K LED Smart TV,Electronics,300,450,16853.05,4553.05
2022-01-06,3,5502,15,54.2,Bluetooth Speaker,Electronics,25,60,813.0,438.00000000000006
2022-01-06,3,8801,30,94.24,Running Shoes,Apparel,40,95,2827.2,1627.1999999999998
2022-01-06,3,8802,30,18.73,Cotton T-Shirt,Apparel,8,20,561.9,321.90000000000003
2022-01-06,3,2205,27,84.98,Coffee Maker,Home,45,85,2294.46,1079.46
2022-01-07,1,5501,26,453.81,4K LED Smart TV,Electronics,300,450,11799.06,3999.06
2022-01-07,1,5502,23,59.52,Bluetooth Speaker,Electronics,25,60,1368.96,793.96
2022-01-07,1,8801,42,90.93,Running Shoes,Apparel,40,95,3819.0600000000004,2139.0600000000004
2022-01-07,1,8802,36,19.56,Cotton T-Shirt,Apparel,8,20,704.16,416.15999999999997
2022-01-07,1,2205,48,93.28,Coffee Maker,Home,45,85,4477.4400000000005,2317.44
2022-01-07,2,5501,43,469.93,4K LED Smart TV,Electronics,300,450,20206.99,7306.990000000001
2022-01-07,2,5502,20,60.67,Bluetooth Speaker,Electronics,25,60,1213.4,713.4000000000001
