feature,importance
is_weekend,0.23299627
day_of_week,0.10313171
qty_rolling_mean_7d,0.09317029
month,0.044666532
category_Apparel,0.04268821
month_cos,0.03752992
sku_id_encoded,0.03547969
qty_rolling_mean_14d,0.031903658
day_of_year,0.03142503
qty_rolling_std_7d,0.028918402
qty_lag_1d,0.027891796
category_Home,0.027421117
day_of_week_sin,0.026631348
qty_rolling_std_14d,0.024661023
week_of_year,0.024643583
month_sin,0.01936522
qty_rolling_std_30d,0.019266559
qty_lag_14d,0.018869936
qty_rolling_mean_30d,0.017994972
quarter,0.017655142
category_Electronics,0.017563572
qty_lag_7d,0.014902124
store_id_encoded,0.013967044
day_of_month,0.013621868
sku_id,0.012514278
day_of_week_cos,0.01244917
store_id,0.008671575
